run1,run2,family,skew_trec,skew_cop,collection
3,30,G,0.907194915399845,-0.018546310200639,web2010
3,31,G,0.478904053408172,0.0200802536886054,web2010
3,32,t,-0.16799441899283,-0.0244969763955412,web2010
3,33,J,-0.201641601961478,0.00700524272123414,web2010
3,35,SG,-1.12642143781305,-0.0201027226745869,web2010
3,36,BB7,0.411752777829654,-0.0126254561353164,web2010
3,37,N,-1.12709536302107,-0.00957649266020816,web2010
3,38,F,1.52733803264897,-0.0173338051987964,web2010
3,39,F,1.76265175776381,-0.0066150433462807,web2010
3,40,J,0.236201847438911,-0.0210314937478398,web2010
3,41,Tawn180,-0.122393028449177,-0.239511636712935,web2010
3,42,F,-1.15129067267908,0.0210504189052001,web2010
3,43,Tawn2_180,-0.103649716249326,0.0928133427294535,web2010
3,44,F,-0.190116007932268,-0.0115381194673585,web2010
3,45,t,0.569292112213534,0.020420700755795,web2010
3,46,Tawn90,-0.34631033025657,-0.020376674080216,web2010
3,48,t,-0.31531174494871,0.00112712659399749,web2010
3,49,J,1.12099379842846,0.00875774014618384,web2010
3,50,SC,1.00084746669537,0.00422536030374838,web2010
3,51,G,0.492100735623336,-0.0177253536546819,web2010
3,52,G,0.474338728660443,0.032551893898769,web2010
3,53,J,0.841913203330432,0.00413747034445519,web2010
3,54,F,1.0895577500027,0.04662947369586,web2010
3,56,F,1.16479111187354,-0.0191562101936609,web2010
3,57,F,-0.526886344683225,0.00357288112067145,web2010
3,60,J,0.66386419647519,0.00241153165344111,web2010
3,61,J,0.231533149082897,0.000485501812009903,web2010
3,62,J,0.386305078507335,-0.0299010149328144,web2010
3,66,G,0.715374421859482,-0.00728169520476631,web2010
3,68,SG,-0.806328118858882,-0.00298087180693765,web2010
3,69,t,0.446413205770472,-0.00595917218523076,web2010
3,70,SC,0.0156533961785097,-0.00723504390099134,web2010
3,71,SC,0.0760911061567904,0.000460205725137922,web2010
3,72,J,-0.164497633274429,0.00364762166432067,web2010
3,74,J,-0.264416706395401,-0.0136964389235013,web2010
3,77,SBB8,1.81757176303265,0.0304271122469539,web2010
3,79,G,1.36878193453251,0.0107128288854278,web2010
3,80,BB7,1.17601725607586,0.0232419835033442,web2010
3,81,Tawn,1.44014793211095,0.935094342294705,web2010
3,82,Tawn2_180,-0.603830815572746,0.0880947998885127,web2010
3,85,t,0.320236082949074,-0.0272060532919826,web2010
3,87,F,0.721336636005231,0.0130194582034813,web2010
3,88,G,0.0524102159326571,-0.0149317977115518,web2010
4,5,t,0.219546344892628,-0.0232995481461697,web2010
4,6,I,0.335422613103848,0.00311993473476514,web2010
4,7,G,0.611480156617762,0.0187288254574757,web2010
4,8,I,1.0864494785211,-0.0128855255441992,web2010
4,9,J,0.771651937334622,0.0152732178485765,web2010
4,10,J,0.140182514718695,-0.00183111253340444,web2010
4,11,Tawn,0.796693768115127,1.38578263518577,web2010
4,12,t,-0.240068584544673,-0.0104230332798249,web2010
4,13,BB7,0.816304471120711,-0.0237062135157684,web2010
4,14,t,-0.308883851499229,0.0024910848200003,web2010
4,15,F,0.411818554346273,0.00987927680733249,web2010
4,16,Tawn,1.46262058526723,1.39495081575313,web2010
4,17,Tawn,1.84240475013025,1.32700010131564,web2010
4,18,F,0.792512729642132,0.00270926600440772,web2010
4,19,F,1.27833267887164,0.0133250670116747,web2010
4,20,SG,1.94167343535794,0.0350654099788647,web2010
4,21,F,1.97064447201334,0.00323272781759253,web2010
4,22,F,2.00190872303978,-0.0335181969643389,web2010
4,24,J,0.148540085220476,0.0326380462478296,web2010
4,25,J,0.0858767551789259,0.0204334016847078,web2010
4,26,J,0.25303417070076,-0.0143542095440003,web2010
4,27,N,0.491118362174618,0.00465773623042376,web2010
4,29,t,0.283227867383886,-0.00235851326669715,web2010
4,30,t,0.283977157583143,-0.0178414550497352,web2010
4,31,t,-0.214307297788289,0.0144873764561653,web2010
4,32,Tawn,0.405733232035688,0.668393797164343,web2010
4,33,Tawn,0.427086795871567,0.763269939145407,web2010
4,35,SG,-0.226553057918724,-0.0139811229442314,web2010
4,36,N,0.477336332598429,-0.00358896946011261,web2010
4,37,N,-1.15802703673091,-0.0250956930963217,web2010
4,38,SBB8,1.53106078604979,-0.0176589143246632,web2010
4,39,SBB8,1.82881631637974,0.0137663237348101,web2010
4,40,t,0.447408861495407,-0.00116590387515191,web2010
4,41,G,0.104169471161951,0.00696154661212609,web2010
4,42,F,-0.928243439012365,-0.0158150087148048,web2010
4,43,Tawn2_180,0.113205036208895,0.0823597597219088,web2010
4,44,G,0.400068345385703,0.0107955610700921,web2010
4,45,J,-0.00291135391634479,-0.00629375378087439,web2010
4,46,I,-0.265673276451122,-0.000512872768056984,web2010
4,48,t,-0.266913585502147,0.00524505956534598,web2010
4,49,SC,0.765713195009392,0.0238011427837028,web2010
4,50,F,0.69064485185359,-0.0132665308622075,web2010
4,51,BB7,1.28015852261475,0.00183240512461919,web2010
4,52,Tawn,1.25576353356591,0.69681219754658,web2010
4,53,t,0.770781147118153,-0.0081877807556742,web2010
4,54,N,1.56355377878238,-0.0227938720008185,web2010
4,56,F,1.67148528790587,-0.0245320916226186,web2010
4,57,F,2.24063822943138,-0.025936105563966,web2010
4,60,I,0.826858525222988,0.00797923766828731,web2010
4,61,I,0.711884529306354,-3.86505749221023e-05,web2010
4,62,I,0.91802227241131,0.00117077809939198,web2010
4,66,SC,-0.238037242104825,-0.0124031867768713,web2010
4,68,G,-1.40200682662234,0.00671225276408769,web2010
4,69,t,0.189969412280613,-0.0294482574648717,web2010
4,70,J,0.204495196862604,-0.0175887582212922,web2010
4,71,J,0.355066353633578,0.00623923395714736,web2010
4,72,Tawn,0.363129984140167,0.81416768802943,web2010
4,74,Tawn,0.23463440732284,0.918572906955491,web2010
4,77,SBB8,1.50969782148804,0.0469947216539674,web2010
4,79,SG,1.14797213050693,0.0040523040773286,web2010
4,80,C,1.13473744540715,-0.00473404658369291,web2010
4,81,Tawn2_180,1.60380468072534,0.53762337593014,web2010
4,82,N,-0.284070716920892,-0.00298711063112885,web2010
4,85,t,0.380944870865062,-0.000325922511861359,web2010
4,87,G,-0.0571048343923335,-0.0527891097980972,web2010
4,88,J,-0.256691133836798,0.00925619772174787,web2010
5,6,F,0.140256847147986,-0.0173106908510387,web2010
5,7,t,0.180562068884224,-0.0137932966294486,web2010
5,8,SJ,0.269568607149693,-0.00970262723161144,web2010
5,9,t,-0.605672026367608,0.00453499778418177,web2010
5,10,Tawn2,-0.817528465290918,-0.639719187157696,web2010
5,11,t,0.411569042498672,0.016935875529241,web2010
5,12,Tawn180,-1.09638982597561,-0.686256790097379,web2010
5,13,t,-0.651840499285043,-0.00275406595761961,web2010
5,14,Tawn180,-0.992772100277838,-0.516085728456189,web2010
5,15,SG,0.173450581149025,-0.000321235307195075,web2010
5,16,t,-0.471097565410319,0.00415031490659166,web2010
5,17,t,-0.24485572322625,0.00968834405682067,web2010
5,18,Tawn180,0.265403337012762,-0.365539551887286,web2010
5,19,t,0.622874908114794,0.0161783539668833,web2010
5,20,J,0.714021806123869,0.0139774265454631,web2010
5,21,Tawn,0.974234973904539,0.572934830142941,web2010
5,22,Tawn,1.01616221106967,0.575759887436281,web2010
5,24,t,-0.905368093742531,-0.0193576832850181,web2010
5,25,Tawn180,-0.774020807647749,-0.289923374708999,web2010
5,26,t,-0.772421489668085,-0.0135465038336953,web2010
5,27,J,0.736539769333656,-0.0209873482841744,web2010
5,29,G,-0.454366547687802,-0.00199724895477768,web2010
5,30,t,-0.453420121227606,-0.00678310643212455,web2010
5,31,Tawn180,-0.404493027001507,-0.38494191829978,web2010
5,32,I,-0.410015108977602,1.78846596724367e-05,web2010
5,33,Tawn2,-0.320370544037005,-0.222190503517938,web2010
5,35,N,-0.149465816736298,0.00601069376848459,web2010
5,36,Tawn,1.3062531377881,0.883965203600892,web2010
5,37,SC,-0.413111225177485,0.0073228713370999,web2010
5,38,F,0.299554829771099,0.0116670555276692,web2010
5,39,N,0.35237899085902,0.00907672708147273,web2010
5,40,J,-0.776709706438158,0.019189863840989,web2010
5,41,N,-0.493069666248863,-0.0099398652055964,web2010
5,42,N,-0.549843810328931,-0.0148266423163199,web2010
5,43,N,-0.565804511917732,0.00659416178434776,web2010
5,44,G,-1.09892270661883,-0.00275671043106825,web2010
5,45,G,-0.489936404884811,0.0160496817955197,web2010
5,46,t,-0.5858233959375,0.0237126217079506,web2010
5,48,SG,-0.897600061058297,-0.0299009409952827,web2010
5,49,SC,0.255182223121595,0.00834692383838123,web2010
5,50,G,0.592822106808402,0.00367860054951387,web2010
5,51,G,0.562364596587519,-0.0161737017581732,web2010
5,52,G,0.534821587765485,-0.00372613102709053,web2010
5,53,BB7,0.253191854595668,-0.00481204301171071,web2010
5,54,t,0.268559543145254,-0.00643134027163576,web2010
5,56,G,0.263816723161507,0.0113084793008139,web2010
5,57,t,-0.011039571847567,-0.00565653853941375,web2010
5,60,SJ,-0.471302430421579,-0.00584389055589116,web2010
5,61,F,-0.147134604259834,-0.000376461551091431,web2010
5,62,SJ,-0.194918946571957,-0.00979487038837597,web2010
5,66,Tawn,0.582952722273299,0.772806294648479,web2010
5,68,Tawn2,-0.44666843210643,-0.988886629045034,web2010
5,69,SG,-0.472112910626304,-0.00733569827985188,web2010
5,70,G,-0.502139195556896,-0.0039690959488529,web2010
5,71,C,-0.289779174097698,0.01870341318581,web2010
5,72,SJ,-0.47840820925178,-0.00688822983356551,web2010
5,74,G,-0.473401627578476,0.00113528487188251,web2010
5,77,J,0.960540226574398,-0.0308590876598844,web2010
